What is your primary means of transportation to and from the U. Washington?,"On average, how many minutes does it take you to get to the U. Washington from your home?","In an average week, how many days are you on the UW campus?",How often do you… [use the light rail or bus?],How often do you… [go to downtown Seattle?],How often do you… [use a mobile phone while walking?],How often do you… [travel on a road that requires a toll?],How often do you… [use a Lime Bike/Uber e-bike?],"On average, how many days in a week (out of 7 days) do you use Uber/Lyft or other ride hailing apps?",What is your primary reason for using an Uber/Lyft?,"In the past 7 days, how many rides did you hail using an Uber/Lyft app? ","In the past 7 days, how much did you spend on Uber/Lyft or other ride hailing apps (in US dollars)?",How often do you: [share an Uber/Lyft ride with someone you did not know],How often do you: [work or do homework in an Uber/Lyft],How often do you: [observe the Uber/Lyft driver talk on their cell phone while driving],How often do you: [observe the Uber/Lyft driver violating a traffic law],How often do you: [rate the Uber/Lyft driver],"On average, how many days in a week (out of 7 days) do you drive?",Please rate how often you do the following activities. [Speed up at a yellow traffic light],Please rate how often you do the following activities. [Honk at the vehicle in front],Please rate how often you do the following activities. [Drive 5 miles over the posted speed],Please rate how often you do the following activities. [Drive 10 miles over the posted speed],Please rate how often you do the following activities. [Check your phone while driving],Please rate how often you do the following activities. [Use your phone when stopped at an intersection],Please rate how often you do the following activities. [Interact with in-vehicle entertainment systems while driving],Please indicate how much you agree or disagree with the following statements. [My driving skills are better than the average person],Please indicate how much you agree or disagree with the following statements. [Bicyclists should not be riding in the same lanes as cars],Please indicate how much you agree or disagree with the following statements. [Driving next to large trucks is stressful],"In the past 5 years, how many times have you been involved in a car crash? ","In the past 5 years, how many times have you received a ticket for a moving violation? ",Please indicate how much you agree or disagree with the following statements. [I choose my mode of transport based on weather],Please indicate how much you agree or disagree with the following statements. [I am often frustrated with Seattle traffic],Please indicate how much you agree or disagree with the following statements. [Autonomous (driverless) cars will be safer than human operated cars],Please indicate how much you agree or disagree with the following statements. [Pedestrians should not look at their mobile phones while walking],Please indicate how much you agree or disagree with the following statements. [Bicyclists in Seattle are too aggressive],Please indicate how much you agree or disagree with the following statements. [Seattle public transportation is reliable],Please indicate how much you agree or disagree with the following statements. [I think the UW provides a quality education],How often... [does traffic impact the time you arrive at work/school],How often... [does the traffic impact the time you leave work/school],"How often... [do you properly sort waste into trash, recyclables and compost]",Are you:,Are you:,How old are you?,Do you rent or own your current living space?,What navigation app do you use most often?,Do you live with a significant other or other family members?,How many people live in your household?,How many children under 6 years old live in your household?,How many vehicles are in your household?  ,Do you have a US driver's license?,How old were you when you got your driver's license?,Are you a:,Do you plan to vote in the next presidential election? 
Bus,15,Every weekday (M-F),Always,Sometimes,Often,Rarely,Never,0,,,,,,,,,0,,,,,,,,,,,,,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Often,Rarely,Often,Student,Female,23,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
Drive,40,3-4 days,Often,Rarely,Always,Rarely,Never,1,Do not want to drive when intoxicated,0,0,Rarely,Never,Rarely,Rarely,Never,7,Rarely,Rarely,Sometimes,Rarely,Often,Often,Never,Somewhat agree,Neither agree nor disagree,Strongly agree,1,0,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Often,Often,Sometimes,Student,Female,34,Rent,Apple Maps,Yes,4,1,1,Yes,17,Other non-US citizen status,
Bus,20,Every weekday (M-F),Often,Rarely,Often,Rarely,Never,0,,,,,,,,,0,,,,,,,,,,,,,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Rarely,Rarely,Rarely,Student,Male,23,Rent,Google Maps,No,,,,Yes,20,Other non-US citizen status,
Bus,15,Every weekday (M-F),Often,Sometimes,Often,Never,Never,0,,,,,,,,,0,,,,,,,,,,,,,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Rarely,Rarely,Sometimes,Student,Male,23,Rent,Google Maps,No,,,,No,,Student on F-1 Visa,
Walk,22,3-4 days,Often,Rarely,Often,Never,Never,0,,,,,,,,,0,,,,,,,,,,,,,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Sometimes,Rarely,Always,Student,Male,25,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
Bus,30,Every weekday (M-F),Always,Sometimes,Often,Never,Never,0,,,,,,,,,0,,,,,,,,,,,,,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,Often,Sometimes,Always,Student,Male,23,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
Walk,20,"Every day, including weekends",Often,Sometimes,Often,Never,Never,0,,,,,,,,,0,,,,,,,,,,,,,Strongly agree,Somewhat agree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Sometimes,Sometimes,Always,Student,Male,22,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
Walk,20,1-2 days,Often,Sometimes,Sometimes,Never,Never,0,,,,,,,,,0,,,,,,,,,,,,,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree,Never,Never,Always,Student,Male,23,Rent,Google Maps,No,,,,No,,F1,
Walk,5,Every weekday (M-F),Sometimes,Sometimes,Rarely,Rarely,Rarely,1,Weather-related,1,6,Rarely,Never,Rarely,Sometimes,Sometimes,3,Rarely,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Somewhat disagree,Somewhat agree,Neither agree nor disagree,1,1,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Rarely,Rarely,Often,Student,Female,30,Rent,Google Maps,No,,,,Yes,18,Other non-US citizen status,
Walk,20,1-2 days,Rarely,Rarely,Often,Never,Never,0,,,,,,,,,0,,,,,,,,,,,,,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Never,Never,Always,Student,Female,24,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
